order_item_id,order_id,product_id,quantity
1,10001,130,3
2,10001,133,2
3,10001,152,3
4,10001,120,2
5,10001,129,3
6,10002,143,1
7,10002,158,1
8,10002,132,3
9,10002,161,1
10,10002,137,3
11,10003,150,2
12,10003,130,2
13,10003,148,2
14,10003,165,1
15,10004,105,2
16,10004,122,1
17,10005,106,2
18,10005,154,1
19,10005,155,2
20,10005,161,2
21,10005,145,2
22,10006,139,1
23,10006,116,1
24,10006,133,1
25,10006,112,1
26,10006,123,1
27,10007,143,3
28,10007,160,2
29,10007,127,1
30,10007,117,2
31,10007,105,1
32,10008,138,3
33,10008,144,3
34,10008,123,1
35,10008,101,3
36,10009,107,2
37,10009,105,1
38,10009,152,2
39,10009,161,1
40,10009,138,3
41,10010,160,3
42,10010,133,3
43,10010,165,1
44,10011,112,1
45,10012,120,3
46,10012,121,2
47,10012,104,2
48,10013,137,2
49,10013,122,2
50,10013,127,2
51,10014,164,1
52,10015,104,3
53,10015,145,3
54,10015,103,3
55,10015,125,2
56,10015,159,1
57,10016,163,3
58,10016,123,2
59,10017,111,1
60,10018,165,1
61,10019,119,3
62,10019,146,3
63,10019,110,1
64,10019,163,3
65,10020,138,3
66,10020,124,2
67,10021,164,2
68,10021,160,1
69,10021,165,2
70,10021,104,1
71,10021,148,1
72,10022,108,2
73,10022,117,3
74,10022,144,2
75,10022,110,3
76,10023,120,2
77,10023,136,1
78,10024,143,3
79,10024,114,1
80,10024,150,1
81,10024,112,2
82,10024,158,2
83,10025,117,2
84,10025,165,2
85,10025,122,3
86,10025,159,1
87,10025,128,3
88,10026,162,2
89,10026,123,2
90,10026,132,1
91,10026,129,2
92,10026,146,1
93,10027,139,2
94,10028,133,3
95,10028,148,1
96,10029,164,1
97,10029,110,1
98,10030,143,3
99,10030,111,2
100,10030,157,3
101,10030,115,2
102,10030,151,3
103,10031,108,3
104,10032,135,1
105,10032,161,3
106,10032,110,3
107,10032,105,2
108,10032,144,3
109,10033,149,2
110,10033,141,2
111,10033,121,2
112,10033,133,1
113,10034,153,3
114,10034,110,1
115,10034,165,2
116,10034,123,1
117,10035,129,1
118,10035,141,1
119,10035,165,3
120,10036,153,3
121,10037,163,2
122,10038,145,1
123,10038,162,3
124,10038,143,3
125,10038,106,2
126,10039,134,1
127,10039,107,1
128,10040,105,3
129,10040,120,2
130,10040,134,3
131,10040,131,2
132,10040,109,2
133,10041,143,1
134,10041,163,1
135,10042,129,3
136,10042,144,2
137,10043,118,1
138,10043,122,2
139,10043,121,2
140,10044,142,2
141,10044,139,2
142,10044,149,1
143,10045,151,2
144,10045,154,3
145,10046,116,2
146,10046,148,2
147,10047,125,3
148,10047,115,1
149,10047,105,2
150,10047,129,2
151,10048,133,2
152,10048,162,1
153,10048,137,3
154,10048,119,1
155,10049,132,1
156,10049,125,3
157,10049,119,3
158,10050,152,1
159,10050,119,2
160,10051,131,1
161,10051,121,2
162,10051,105,2
163,10051,109,1
164,10051,118,2
165,10052,137,2
166,10052,145,2
167,10052,153,2
168,10053,158,3
169,10053,107,2
170,10053,123,2
171,10053,120,1
172,10054,116,1
173,10054,163,3
174,10054,123,1
175,10054,119,3
176,10055,164,2
177,10055,103,3
178,10056,142,3
179,10057,163,2
180,10057,164,1
181,10058,101,1
182,10058,146,1
183,10058,138,1
184,10059,125,2
185,10060,149,3
186,10060,158,3
187,10060,123,2
188,10060,143,1
189,10061,103,1
190,10061,110,2
191,10062,135,3
192,10062,149,1
193,10062,114,1
194,10063,113,2
195,10063,126,3
196,10063,152,2
197,10063,107,2
198,10064,127,2
199,10064,118,2
200,10065,124,2
201,10065,155,3
202,10065,165,3
203,10065,150,3
204,10066,141,1
205,10066,153,3
206,10066,126,1
207,10067,131,3
208,10067,118,1
209,10067,107,2
210,10067,102,2
211,10068,133,2
212,10068,110,3
213,10068,163,1
214,10068,104,3
215,10069,160,1
216,10070,103,3
217,10070,106,3
218,10070,153,2
219,10070,158,2
220,10071,136,3
221,10071,162,2
222,10071,118,3
223,10071,108,2
224,10072,132,2
225,10072,154,1
226,10073,159,1
227,10073,165,3
228,10073,163,1
229,10073,114,2
230,10074,137,2
231,10074,131,1
232,10074,148,1
233,10074,109,1
234,10075,163,3
235,10076,116,3
236,10076,154,1
237,10076,122,2
238,10077,151,1
239,10077,104,2
240,10078,122,1
241,10078,109,3
