order_id,customer_id,order_date,order_total
10001,115,2023-01-01 00:00:00,25846
10002,932,2023-01-01 01:00:00,40597
10003,674,2023-01-01 02:00:00,6944
10004,1737,2023-01-01 03:00:00,25381
10005,1258,2023-01-01 04:00:00,49653
10006,1564,2023-01-01 05:00:00,25346
10007,1035,2023-01-01 06:00:00,11906
10008,206,2023-01-01 07:00:00,40111
10009,1703,2023-01-01 08:00:00,25939
10010,247,2023-01-01 09:00:00,6472
10011,1583,2023-01-01 10:00:00,48563
10012,758,2023-01-01 11:00:00,38373
10013,1151,2023-01-01 12:00:00,11431
10014,147,2023-01-01 13:00:00,8202
10015,118,2023-01-01 14:00:00,19798
10016,1935,2023-01-01 15:00:00,22040
10017,1406,2023-01-01 16:00:00,32540
10018,412,2023-01-01 17:00:00,47404
10019,1688,2023-01-01 18:00:00,31500
10020,1608,2023-01-01 19:00:00,30305
10021,363,2023-01-01 20:00:00,3099
10022,1533,2023-01-01 21:00:00,22600
10023,137,2023-01-01 22:00:00,31009
10024,1199,2023-01-01 23:00:00,35503
10025,1313,2023-01-02 00:00:00,19683
10026,958,2023-01-02 01:00:00,38741
10027,1505,2023-01-02 02:00:00,518
10028,19,2023-01-02 03:00:00,1358
10029,195,2023-01-02 04:00:00,26492
10030,330,2023-01-02 05:00:00,33080
10031,1960,2023-01-02 06:00:00,5880
10032,175,2023-01-02 07:00:00,36300
10033,1002,2023-01-02 08:00:00,19415
10034,449,2023-01-02 09:00:00,40739
10035,1949,2023-01-02 10:00:00,37987
10036,946,2023-01-02 11:00:00,13443
10037,1378,2023-01-02 12:00:00,38131
10038,1523,2023-01-02 13:00:00,37306
10039,141,2023-01-02 14:00:00,19336
10040,758,2023-01-02 15:00:00,36114
10041,1921,2023-01-02 16:00:00,41332
10042,930,2023-01-02 17:00:00,11894
10043,93,2023-01-02 18:00:00,7122
10044,1968,2023-01-02 19:00:00,45563
10045,239,2023-01-02 20:00:00,25780
10046,205,2023-01-02 21:00:00,12282
10047,560,2023-01-02 22:00:00,1659
10048,1457,2023-01-02 23:00:00,5126
10049,245,2023-01-03 00:00:00,23940
10050,832,2023-01-03 01:00:00,36990
10051,1341,2023-01-03 02:00:00,12130
10052,925,2023-01-03 03:00:00,44542
