supplier_id,supplier_name,contact_email,country
1,Supplier_1,supplier1@supply.ke,Kenya
2,Supplier_2,supplier2@supply.ke,Germany
3,Supplier_3,supplier3@supply.ke,Germany
4,Supplier_4,supplier4@supply.ke,Germany
5,Supplier_5,supplier5@supply.ke,USA
6,Supplier_6,supplier6@supply.ke,Germany
7,Supplier_7,supplier7@supply.ke,Kenya
8,Supplier_8,supplier8@supply.ke,Germany
9,Supplier_9,supplier9@supply.ke,China
10,Supplier_10,supplier10@supply.ke,Germany
11,Supplier_11,supplier11@supply.ke,USA
12,Supplier_12,supplier12@supply.ke,China
13,Supplier_13,supplier13@supply.ke,Kenya
14,Supplier_14,supplier14@supply.ke,Kenya
15,Supplier_15,supplier15@supply.ke,India
16,Supplier_16,supplier16@supply.ke,China
17,Supplier_17,supplier17@supply.ke,India
18,Supplier_18,supplier18@supply.ke,China
19,Supplier_19,supplier19@supply.ke,China
20,Supplier_20,supplier20@supply.ke,USA
